episode,sum q_values,average q_values
943,2567.5237,5.1350474
944,2447.172,4.894345
945,2239.7988,4.479598
946,2385.7654,4.771531
947,2463.4097,4.92682
948,2662.575,5.3251495
949,2932.5796,5.8651595
950,3105.5405,6.211082
951,3134.7864,6.2695723
952,3065.4277,6.1308556
953,2968.6284,5.937256
954,3101.8015,6.2036037
955,2922.35,5.8447013
956,2720.2808,5.4405627
957,2815.675,5.63135
958,3173.7666,6.347533
959,3360.8584,6.7217164
960,3965.751,7.931502
961,3074.835,6.14967
962,3313.041,6.626082
963,3139.3496,6.278699
964,3752.4465,7.5048933
